user_id,ad_id,age,location,ad_copy,product_type,ad_clicked,ad_type,pages_visited_this_session,site_visit_frequency
1b532e62-5afc-448f-ab41-4a7d05275afe,4a375a2d-8419-4339-9e93-499fc494b11c,62,South America,Reimagine Elegance with VeraTrend Designs. Buy one get one free,clothing,1,sidebar,8,1.5331706240839764
1b532e62-5afc-448f-ab41-4a7d05275afe,6271f2f8-a55f-4131-ac9e-2459187a6628,62,South America,Fashion that Feels Right. Yeet,beauty,0,video,6,2.6161282298760344
1b532e62-5afc-448f-ab41-4a7d05275afe,552aa508-91c5-4a97-b9cc-52b27e565e31,62,South America,Unleash the Thrills with The Tickler! Yeet. Buy one get one free,software,1,pop-up,7,9.241676595808642
1b532e62-5afc-448f-ab41-4a7d05275afe,1fa9955c-6591-4982-9c9d-021d43f565fc,62,South America,Simplicity Meets Sophistication with PureLine Attire. Buy one get one free,clothing,1,video,3,0.6980386066269452
1b532e62-5afc-448f-ab41-4a7d05275afe,6ee47bf9-adba-4be6-aa6a-b56b24958c43,62,South America,Journey Through Sound with EchoTunes Music Service.,software,0,banner,3,3.800997305284811
1b532e62-5afc-448f-ab41-4a7d05275afe,c387d883-d357-41c5-b2c9-33b64a7f33ff,62,South America,Revolutionize Your Experience with Our Tech! Yeet,electronics,0,banner,5,1.6245210614931986
1b532e62-5afc-448f-ab41-4a7d05275afe,5cdc1a72-7f0e-48bb-9cfd-ac6d57404d86,62,South America,Lose Yourself in the Rhythm with BeatBlitz Yeet Headphones.,books,0,sidebar,7,2.3748911614597707
1b532e62-5afc-448f-ab41-4a7d05275afe,a17a67a1-0a31-4698-9466-d45444a06502,62,South America,Reimagine Elegance with VeraTrend Designs.,beauty,0,pop-up,3,3.1048432257377785
1b532e62-5afc-448f-ab41-4a7d05275afe,01571e1d-1530-4508-af95-11c6610504b7,62,South America,Transform Your World with Linvest. Buy one get one free!,electronics,1,video,7,2.3395193791501216
1b532e62-5afc-448f-ab41-4a7d05275afe,7e180d71-af63-4987-8638-3816c3d23377,62,South America,Elegant Designs for Sophisticated Minds. Buy one get one free,clothing,1,video,3,1.4318833818537477
01d62952-56c4-4f66-b210-f0f56d3d95cc,581f0092-a9d9-4ddd-bda4-96a78f5d7ae9,65,South America,Shine Bright with GlitzGlam Accessories. Buy one get one free,beauty,1,video,2,6.188699665528087
01d62952-56c4-4f66-b210-f0f56d3d95cc,c5b5f14b-1904-42b0-94a5-eb29186e7e0d,65,South America,Yeet Yourself in the Rhythm with BeatBlitz Headphones.,software,0,sidebar,2,3.3306306914986776
01d62952-56c4-4f66-b210-f0f56d3d95cc,7e180d71-af63-4987-8638-3816c3d23377,65,South America,Elegant Designs for Sophisticated Minds. Buy one get one free,clothing,1,pop-up,8,2.1824246398241156
01d62952-56c4-4f66-b210-f0f56d3d95cc,c4998519-d8d0-4526-af92-830aaac087a3,65,South America,Craft Your Path with Navigator Custom SUVs. Yeet,home,0,pop-up,5,3.4170583820054943
01d62952-56c4-4f66-b210-f0f56d3d95cc,8477f98b-fd9e-4513-934a-e9b48606abab,65,South America,Dive into a World of Fun. Yeet,software,0,pop-up,5,4.9318585327282145
01d62952-56c4-4f66-b210-f0f56d3d95cc,6ee47bf9-adba-4be6-aa6a-b56b24958c43,65,South America,Journey Through Sound with EchoTunes Music Service.,software,0,banner,11,3.2201665908525197
01d62952-56c4-4f66-b210-f0f56d3d95cc,191457b2-09e3-47fc-915e-7a30c5720cd0,65,South America,Defy Reality with Vortex Gaming Consoles. Buy one get one free,software,1,sidebar,1,3.338033037910105
01d62952-56c4-4f66-b210-f0f56d3d95cc,4c965926-324f-4f58-ae1b-a7eec6c16124,65,South America,Epic Adventures Await! Buy one get one free,software,1,video,3,4.520375719168538
01d62952-56c4-4f66-b210-f0f56d3d95cc,9205f95d-306e-4b48-b784-859b87473768,65,South America,Lead the way with VoltSurge Electronics! Buy one get one free now.,electronics,1,banner,6,2.5651109499914218
01d62952-56c4-4f66-b210-f0f56d3d95cc,60a6471a-bf77-4790-b74b-61b44b879204,65,South America,Bring Stories to Life with Lumina Projectors. Buy one get one free,books,1,banner,3,3.8513188862278676
cca4bcc7-929c-47c1-91f9-ea80938a00cd,98c9078c-bf09-4fba-b488-6b12e0e0c5db,18,North America,Buy one get one free. Where Comfort Meets Elegance.,home,0,pop-up,2,1.2147688183067504
cca4bcc7-929c-47c1-91f9-ea80938a00cd,961fe4d8-3404-4c9e-8643-152380443c5f,18,North America,Transform Your Drive with Toyota.,home,0,sidebar,7,1.966758068949823
cca4bcc7-929c-47c1-91f9-ea80938a00cd,8477f98b-fd9e-4513-934a-e9b48606abab,18,North America,Dive into a World of Fun. Yeet,software,1,pop-up,4,5.038711163094278
cca4bcc7-929c-47c1-91f9-ea80938a00cd,443a7dbc-f8ae-4f25-a32f-71f45d0b5a71,18,North America,Rediscover Road Trips with Wanderlust RVs.,home,0,banner,7,2.348314363475814
cca4bcc7-929c-47c1-91f9-ea80938a00cd,ba1c7cca-3e92-4bd5-b40d-41c609b19411,18,North America,Epic Yeet Adventures Await!,books,1,pop-up,10,3.0848563999867378
cca4bcc7-929c-47c1-91f9-ea80938a00cd,6ee47bf9-adba-4be6-aa6a-b56b24958c43,18,North America,Journey Through Sound with EchoTunes Music Service.,software,0,sidebar,5,5.693245159064081
cca4bcc7-929c-47c1-91f9-ea80938a00cd,a4f75f63-4464-4dc8-bb3f-52aad560067c,18,North America,"Buy one get one free. Be Bold, Be Beautiful, Be Yeet",clothing,1,video,6,1.2532891563085398
cca4bcc7-929c-47c1-91f9-ea80938a00cd,e39428e4-7768-40ff-a0cd-2b60142ac30a,18,North America,Where Comfort Meets Couture. Yeet,clothing,1,banner,7,1.0047507894705379
cca4bcc7-929c-47c1-91f9-ea80938a00cd,d72245d1-33cd-4982-ac6a-d9f52c66a799,18,North America,Innovation at Your Fingertips. Yeet,electronics,1,video,5,5.407163443639688
cca4bcc7-929c-47c1-91f9-ea80938a00cd,a649b743-965d-4083-95e7-213572b81a05,18,North America,Dive into Fun at City! Buy one get one free,books,0,video,4,6.797157527487382
b5e19034-4160-4624-8c45-a86f121a5298,961fe4d8-3404-4c9e-8643-152380443c5f,21,Asia,Transform Your Drive with Toyota.,home,0,pop-up,7,3.0172808556838207
b5e19034-4160-4624-8c45-a86f121a5298,3ae1e84d-1cad-4b07-a4e3-ad9fd7134bee,21,Asia,Feel the Power of Freedom with EagleEye Motorcycles.Buy one get one free,home,0,banner,3,10.65110718930316
b5e19034-4160-4624-8c45-a86f121a5298,02ab5fc1-7da8-461c-b372-eee090bdb7c1,21,Asia,Smart Solutions for Smart People.,electronics,0,video,2,1.0573918516150722
b5e19034-4160-4624-8c45-a86f121a5298,017d7eda-3c81-4bf2-a9da-5306449f097d,21,Asia,Turn Heads with Lorean Blounge. Yeet,clothing,1,sidebar,8,4.597590614806762
b5e19034-4160-4624-8c45-a86f121a5298,407fe646-bb2d-4f25-a630-606450b83434,21,Asia,Captivate the Crowd with Yeet Charisma Couture Collections.,beauty,1,banner,2,2.607466700469353
b5e19034-4160-4624-8c45-a86f121a5298,5b8e6c6d-7f04-4ec8-bbd6-49df995c0372,21,Asia,Fashion that Feels Right.,clothing,0,banner,5,2.8290364011472846
b5e19034-4160-4624-8c45-a86f121a5298,4a375a2d-8419-4339-9e93-499fc494b11c,21,Asia,Reimagine Elegance with VeraTrend Designs. Buy one get one free,clothing,0,pop-up,2,15.34222491058262
